row,L,l,d,U,I,.,F,-,+,",*,/,(,),{,},_,;,:,=,!,>,<,%,#,n,s,t,otro
0,"AS1-AS4",AS1,"AS1-AS4",,,"AS1-AS4",,AS1,"AS1-AS3","AS1-AS4","AS1-AS3","AS1-AS3","AS1-AS3","AS1-AS3","AS1-AS3","AS1-AS3","AS1-AS3","AS1-AS3",AS1,AS1,,AS1,AS1,,,ASN,,,,
1,AS2,AS2,AS2,AS2,,AS2,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,"AS2-ASUI-AS3",,,,,,,,,,,,,,,,,,,,,,,,,
3,,,AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ASF-AS3-ASR","ASF-AS3-ASR",AS2,"ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR",AS2,"ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR"
5,,,,,,,,AS2,AS2,,,,,,,,,,,,,,,,,,,,,
6,,,AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ASF-AS3-ASR","ASF-AS3-ASR",AS2,"ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR","ASF-AS3-ASR"
8,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,"AS2-AS3",AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,ASN,AS2
9,"AS3-ASR",AS2,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR"
10,,,,,,,,,,,,,,,,,,,,"AS2-AS3",,,,,,,
11,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS2-AS3","AS2-AS3","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR"
12,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS2-AS3","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR"
13,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS2-AS3","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR"
14,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS2-AS3","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR"
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,ASN,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,ASN,,,
18,AS2,,AS2,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR",AS2,"AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR","AS3-ASR"